class,model,precision,recall,support
   0.0,'logisticReg'_'20k_98_2_6d',0.98,1.0,0.99     15592
   1.0,'logisticReg'_'20k_98_2_6d',0.57,0.2,0.29
   0.0,'logisticReg'_'20k_98_2_6d'_frame,0.96,0.98,0.97
   1.0,'logisticReg'_'20k_98_2_6d'_frame,0.87,0.77,0.82
   0.0,'SVM'_'20k_98_2_6d',0.98,0.99,0.99     15592
   1.0,'SVM'_'20k_98_2_6d',0.44,0.27,0.33
   0.0,'SVM'_'20k_98_2_6d'_frame,0.96,0.98,0.97
   1.0,'SVM'_'20k_98_2_6d'_frame,0.87,0.77,0.82
   0.0,'RF'_'20k_98_2_6d',0.98,0.99,0.98     15592
   1.0,'RF'_'20k_98_2_6d',0.37,0.32,0.35
   0.0,'RF'_'20k_98_2_6d'_frame,0.99,0.99,0.99
   1.0,'RF'_'20k_98_2_6d'_frame,0.96,0.96,0.96
   0.0,'GB_DT'_'20k_98_2_6d',0.98,0.99,0.99     15592
   1.0,'GB_DT'_'20k_98_2_6d',0.45,0.25,0.32
   0.0,'GB_DT'_'20k_98_2_6d'_frame,0.99,1.0,1.00
   1.0,'GB_DT'_'20k_98_2_6d'_frame,1.0,0.96,0.98
   0.0,'logisticReg'_'20k_90_10_6d',0.93,0.98,0.96     14321
   1.0,'logisticReg'_'20k_90_10_6d',0.74,0.37,0.50
   0.0,'logisticReg'_'20k_90_10_6d'_frame,0.96,0.99,0.98
   1.0,'logisticReg'_'20k_90_10_6d'_frame,0.97,0.85,0.90
   0.0,'SVM'_'20k_90_10_6d',0.93,0.98,0.96     14321
   1.0,'SVM'_'20k_90_10_6d',0.74,0.39,0.51
   0.0,'SVM'_'20k_90_10_6d'_frame,0.99,1.0,0.99
   1.0,'SVM'_'20k_90_10_6d'_frame,1.0,0.95,0.97
   0.0,'RF'_'20k_90_10_6d',0.94,0.98,0.96     14321
   1.0,'RF'_'20k_90_10_6d',0.7,0.48,0.57
   0.0,'RF'_'20k_90_10_6d'_frame,0.98,1.0,0.99
   1.0,'RF'_'20k_90_10_6d'_frame,1.0,0.92,0.96
   0.0,'GB_DT'_'20k_90_10_6d',0.94,0.97,0.96     14321
   1.0,'GB_DT'_'20k_90_10_6d',0.69,0.49,0.57
   0.0,'GB_DT'_'20k_90_10_6d'_frame,0.99,1.0,1.00
   1.0,'GB_DT'_'20k_90_10_6d'_frame,1.0,0.97,0.99
   0.0,'logisticReg'_'20k_80_20_6d',0.87,0.98,0.92     12737
   1.0,'logisticReg'_'20k_80_20_6d',0.86,0.42,0.56
   0.0,'logisticReg'_'20k_80_20_6d'_frame,0.96,0.98,0.97
   1.0,'logisticReg'_'20k_80_20_6d'_frame,0.93,0.89,0.91
   0.0,'SVM'_'20k_80_20_6d',0.9,0.96,0.93     12737
   1.0,'SVM'_'20k_80_20_6d',0.78,0.58,0.66
   0.0,'SVM'_'20k_80_20_6d'_frame,0.98,0.97,0.98
   1.0,'SVM'_'20k_80_20_6d'_frame,0.92,0.96,0.94
   0.0,'RF'_'20k_80_20_6d',0.89,0.97,0.93     12737
   1.0,'RF'_'20k_80_20_6d',0.8,0.54,0.64
   0.0,'RF'_'20k_80_20_6d'_frame,0.99,0.99,0.99
   1.0,'RF'_'20k_80_20_6d'_frame,0.98,0.98,0.98
   0.0,'GB_DT'_'20k_80_20_6d',0.89,0.96,0.93     12737
   1.0,'GB_DT'_'20k_80_20_6d',0.79,0.54,0.64
   0.0,'GB_DT'_'20k_80_20_6d'_frame,0.99,0.98,0.99
   1.0,'GB_DT'_'20k_80_20_6d'_frame,0.96,0.98,0.97
   0.0,'logisticReg'_'30k_98_2_7d',0.99,1.0,0.99     23402
   1.0,'logisticReg'_'30k_98_2_7d',0.99,0.59,0.74
   0.0,'logisticReg'_'30k_98_2_7d'_frame,0.99,1.0,0.99
   1.0,'logisticReg'_'30k_98_2_7d'_frame,1.0,0.93,0.96
   0.0,'SVM'_'30k_98_2_7d',0.99,1.0,1.00     23402
   1.0,'SVM'_'30k_98_2_7d',1.0,0.7,0.82
   0.0,'SVM'_'30k_98_2_7d'_frame,0.99,1.0,1.00
   1.0,'SVM'_'30k_98_2_7d'_frame,1.0,0.97,0.98
   0.0,'RF'_'30k_98_2_7d',0.99,1.0,1.00     23402
   1.0,'RF'_'30k_98_2_7d',1.0,0.67,0.80
   0.0,'RF'_'30k_98_2_7d'_frame,1.0,1.0,1.00
   1.0,'RF'_'30k_98_2_7d'_frame,1.0,0.98,0.99
   0.0,'GB_DT'_'30k_98_2_7d',0.99,1.0,1.00     23402
   1.0,'GB_DT'_'30k_98_2_7d',1.0,0.63,0.77
   0.0,'GB_DT'_'30k_98_2_7d'_frame,1.0,1.0,1.00
   1.0,'GB_DT'_'30k_98_2_7d'_frame,1.0,0.98,0.99
   0.0,'logisticReg'_'30k_90_10_7d',0.96,1.0,0.98     21483
   1.0,'logisticReg'_'30k_90_10_7d',1.0,0.65,0.79
   0.0,'logisticReg'_'30k_90_10_7d'_frame,0.96,0.99,0.98
   1.0,'logisticReg'_'30k_90_10_7d'_frame,0.98,0.9,0.94
   0.0,'SVM'_'30k_90_10_7d',0.98,1.0,0.99     21483
   1.0,'SVM'_'30k_90_10_7d',0.99,0.86,0.92
   0.0,'SVM'_'30k_90_10_7d'_frame,0.97,0.99,0.98
   1.0,'SVM'_'30k_90_10_7d'_frame,0.98,0.92,0.95
   0.0,'RF'_'30k_90_10_7d',0.98,1.0,0.99     21483
   1.0,'RF'_'30k_90_10_7d',1.0,0.81,0.89
   0.0,'RF'_'30k_90_10_7d'_frame,0.97,1.0,0.98
   1.0,'RF'_'30k_90_10_7d'_frame,0.99,0.91,0.95
   0.0,'GB_DT'_'30k_90_10_7d',0.98,1.0,0.99     21483
   1.0,'GB_DT'_'30k_90_10_7d',0.99,0.83,0.91
   0.0,'GB_DT'_'30k_90_10_7d'_frame,1.0,1.0,1.00
   1.0,'GB_DT'_'30k_90_10_7d'_frame,0.99,0.99,0.99
   0.0,'logisticReg'_'30k_80_20_7d',0.94,1.0,0.97     19130
   1.0,'logisticReg'_'30k_80_20_7d',1.0,0.74,0.85
   0.0,'logisticReg'_'30k_80_20_7d'_frame,0.93,0.99,0.96
   1.0,'logisticReg'_'30k_80_20_7d'_frame,0.99,0.86,0.92
   0.0,'SVM'_'30k_80_20_7d',0.98,0.76,0.86     19130
   1.0,'SVM'_'30k_80_20_7d',0.5,0.95,0.66
   0.0,'SVM'_'30k_80_20_7d'_frame,0.96,0.99,0.98
   1.0,'SVM'_'30k_80_20_7d'_frame,0.99,0.91,0.95
   0.0,'RF'_'30k_80_20_7d',0.97,1.0,0.98     19130
   1.0,'RF'_'30k_80_20_7d',1.0,0.87,0.93
   0.0,'RF'_'30k_80_20_7d'_frame,0.98,1.0,0.99
   1.0,'RF'_'30k_80_20_7d'_frame,0.99,0.96,0.98
   0.0,'GB_DT'_'30k_80_20_7d',0.98,1.0,0.99     19130
   1.0,'GB_DT'_'30k_80_20_7d',0.99,0.9,0.95
   0.0,'GB_DT'_'30k_80_20_7d'_frame,1.0,1.0,1.00
   1.0,'GB_DT'_'30k_80_20_7d'_frame,1.0,1.0,1.00
   0.0,'logisticReg'_'50k_98_2_9d',0.98,1.0,0.99     39018
   1.0,'logisticReg'_'50k_98_2_9d',0.9,0.09,0.16
   0.0,'logisticReg'_'50k_98_2_9d'_frame,0.96,1.0,0.98
   1.0,'logisticReg'_'50k_98_2_9d'_frame,0.86,0.4,0.54
   0.0,'SVM'_'50k_98_2_9d',0.98,1.0,0.99     39018
   1.0,'SVM'_'50k_98_2_9d',0.85,0.14,0.24
   0.0,'SVM'_'50k_98_2_9d'_frame,0.97,1.0,0.98
   1.0,'SVM'_'50k_98_2_9d'_frame,0.9,0.46,0.61
   0.0,'RF'_'50k_98_2_9d',0.98,1.0,0.99     39018
   1.0,'RF'_'50k_98_2_9d',0.7,0.22,0.34
   0.0,'RF'_'50k_98_2_9d'_frame,0.98,1.0,0.99
   1.0,'RF'_'50k_98_2_9d'_frame,0.94,0.68,0.79
   0.0,'GB_DT'_'50k_98_2_9d',0.98,1.0,0.99     39018
   1.0,'GB_DT'_'50k_98_2_9d',0.67,0.28,0.39
   0.0,'GB_DT'_'50k_98_2_9d'_frame,0.99,1.0,0.99
   1.0,'GB_DT'_'50k_98_2_9d'_frame,1.0,0.77,0.87
   0.0,'logisticReg'_'50k_90_10_9d',0.93,0.99,0.96     35844
   1.0,'logisticReg'_'50k_90_10_9d',0.8,0.4,0.54
   0.0,'logisticReg'_'50k_90_10_9d'_frame,0.92,0.96,0.94
   1.0,'logisticReg'_'50k_90_10_9d'_frame,0.78,0.61,0.68
   0.0,'SVM'_'50k_90_10_9d',0.95,0.98,0.96     35844
   1.0,'SVM'_'50k_90_10_9d',0.76,0.54,0.63
   0.0,'SVM'_'50k_90_10_9d'_frame,0.93,0.99,0.96
   1.0,'SVM'_'50k_90_10_9d'_frame,0.93,0.68,0.79
   0.0,'RF'_'50k_90_10_9d',0.96,0.98,0.97     35844
   1.0,'RF'_'50k_90_10_9d',0.75,0.61,0.67
   0.0,'RF'_'50k_90_10_9d'_frame,0.97,0.99,0.98
   1.0,'RF'_'50k_90_10_9d'_frame,0.93,0.86,0.89
   0.0,'GB_DT'_'50k_90_10_9d',0.96,0.98,0.97     35844
   1.0,'GB_DT'_'50k_90_10_9d',0.75,0.61,0.67
   0.0,'GB_DT'_'50k_90_10_9d'_frame,0.97,0.99,0.98
   1.0,'GB_DT'_'50k_90_10_9d'_frame,0.93,0.88,0.90
   0.0,'logisticReg'_'50k_80_20_9d',0.91,0.97,0.94     31885
   1.0,'logisticReg'_'50k_80_20_9d',0.83,0.62,0.71
   0.0,'logisticReg'_'50k_80_20_9d'_frame,0.91,0.93,0.92
   1.0,'logisticReg'_'50k_80_20_9d'_frame,0.81,0.77,0.79
   0.0,'SVM'_'50k_80_20_9d',0.92,0.96,0.94     31885
   1.0,'SVM'_'50k_80_20_9d',0.83,0.67,0.74
   0.0,'SVM'_'50k_80_20_9d'_frame,0.93,0.96,0.94
   1.0,'SVM'_'50k_80_20_9d'_frame,0.89,0.81,0.85
   0.0,'RF'_'50k_80_20_9d',0.94,0.95,0.95     31885
   1.0,'RF'_'50k_80_20_9d',0.81,0.78,0.80
   0.0,'RF'_'50k_80_20_9d'_frame,0.97,0.98,0.97
   1.0,'RF'_'50k_80_20_9d'_frame,0.94,0.93,0.94
   0.0,'GB_DT'_'50k_80_20_9d',0.94,0.95,0.95     31885
   1.0,'GB_DT'_'50k_80_20_9d',0.8,0.78,0.79
   0.0,'GB_DT'_'50k_80_20_9d'_frame,0.99,0.99,0.99
   1.0,'GB_DT'_'50k_80_20_9d'_frame,0.99,0.97,0.98
